configuration,network,browser.protocol,setup,load.time,protocol,browser,Total size,# of images
1,80MB/s-10ms,HTTP/1.1 - Firefox,individual-10%,0.1195,HTTP/1.1,Firefox,20,7
1,80MB/s-10ms,HTTP/1.1 - Chrome,individual-10%,0.0735,HTTP/1.1,Chrome,20,7
1,80MB/s-10ms,HTTP/2 - Firefox,individual-10%,0.1015,HTTP/2,Firefox,20,7
1,80MB/s-10ms,HTTP/2 - Chrome,individual-10%,0.061,HTTP/2,Chrome,20,7
2,20MB/s-40ms,HTTP/1.1 - Firefox,individual-10%,0.128,HTTP/1.1,Firefox,20,7
2,20MB/s-40ms,HTTP/1.1 - Chrome,individual-10%,0.128,HTTP/1.1,Chrome,20,7
2,20MB/s-40ms,HTTP/2 - Firefox,individual-10%,0.0835,HTTP/2,Firefox,20,7
2,20MB/s-40ms,HTTP/2 - Chrome,individual-10%,0.075,HTTP/2,Chrome,20,7
3,1.3MB/s-35ms,HTTP/1.1 - Firefox,individual-10%,0.2355,HTTP/1.1,Firefox,20,7
3,1.3MB/s-35ms,HTTP/1.1 - Chrome,individual-10%,0.207,HTTP/1.1,Chrome,20,7
3,1.3MB/s-35ms,HTTP/2 - Firefox,individual-10%,0.121,HTTP/2,Firefox,20,7
3,1.3MB/s-35ms,HTTP/2 - Chrome,individual-10%,0.116,HTTP/2,Chrome,20,7
1,80MB/s-10ms,HTTP/1.1 - Firefox,individual-100%,0.344,HTTP/1.1,Firefox,106,72
1,80MB/s-10ms,HTTP/1.1 - Chrome,individual-100%,0.3365,HTTP/1.1,Chrome,106,72
1,80MB/s-10ms,HTTP/2 - Firefox,individual-100%,0.245,HTTP/2,Firefox,106,72
1,80MB/s-10ms,HTTP/2 - Chrome,individual-100%,0.162,HTTP/2,Chrome,106,72
2,20MB/s-40ms,HTTP/1.1 - Firefox,individual-100%,0.5305,HTTP/1.1,Firefox,106,72
2,20MB/s-40ms,HTTP/1.1 - Chrome,individual-100%,0.558,HTTP/1.1,Chrome,106,72
2,20MB/s-40ms,HTTP/2 - Firefox,individual-100%,0.205,HTTP/2,Firefox,106,72
2,20MB/s-40ms,HTTP/2 - Chrome,individual-100%,0.2035,HTTP/2,Chrome,106,72
3,1.3MB/s-35ms,HTTP/1.1 - Firefox,individual-100%,0.896,HTTP/1.1,Firefox,106,72
3,1.3MB/s-35ms,HTTP/1.1 - Chrome,individual-100%,0.852,HTTP/1.1,Chrome,106,72
3,1.3MB/s-35ms,HTTP/2 - Firefox,individual-100%,0.677,HTTP/2,Firefox,106,72
3,1.3MB/s-35ms,HTTP/2 - Chrome,individual-100%,0.693,HTTP/2,Chrome,106,72
1,80MB/s-10ms,HTTP/1.1 - Firefox,individual-30%,0.156,HTTP/1.1,Firefox,40,22
1,80MB/s-10ms,HTTP/1.1 - Chrome,individual-30%,0.124,HTTP/1.1,Chrome,40,22
1,80MB/s-10ms,HTTP/2 - Firefox,individual-30%,0.127,HTTP/2,Firefox,40,22
1,80MB/s-10ms,HTTP/2 - Chrome,individual-30%,0.08,HTTP/2,Chrome,40,22
2,20MB/s-40ms,HTTP/1.1 - Firefox,individual-30%,0.224,HTTP/1.1,Firefox,40,22
2,20MB/s-40ms,HTTP/1.1 - Chrome,individual-30%,0.2265,HTTP/1.1,Chrome,40,22
2,20MB/s-40ms,HTTP/2 - Firefox,individual-30%,0.12,HTTP/2,Firefox,40,22
2,20MB/s-40ms,HTTP/2 - Chrome,individual-30%,0.1155,HTTP/2,Chrome,40,22
3,1.3MB/s-35ms,HTTP/1.1 - Firefox,individual-30%,0.3785,HTTP/1.1,Firefox,40,22
3,1.3MB/s-35ms,HTTP/1.1 - Chrome,individual-30%,0.344,HTTP/1.1,Chrome,40,22
3,1.3MB/s-35ms,HTTP/2 - Firefox,individual-30%,0.235,HTTP/2,Firefox,40,22
3,1.3MB/s-35ms,HTTP/2 - Chrome,individual-30%,0.232,HTTP/2,Chrome,40,22
1,80MB/s-10ms,HTTP/1.1 - Firefox,individual-50%,0.212,HTTP/1.1,Firefox,75,36
1,80MB/s-10ms,HTTP/1.1 - Chrome,individual-50%,0.177,HTTP/1.1,Chrome,75,36
